GID,group_name,description,owner_PID,banner_url,max_members,created_at,is_public
GR001,Global Guild 1,"Player group for practice games, tournaments, and chat coordination.",P022,https://cdn.gamehub.example/groups/GR001.png,25,2025-12-29 06:49:25,FALSE
GR002,Casual Guild 2,"Player group for practice games, tournaments, and chat coordination.",P002,https://cdn.gamehub.example/groups/GR002.png,50,2025-10-23 07:46:43,TRUE
GR003,Casual Guild 3,"Player group for practice games, tournaments, and chat coordination.",P045,https://cdn.gamehub.example/groups/GR003.png,25,2025-04-13 11:52:57,TRUE
GR004,Elite Guild 4,"Player group for practice games, tournaments, and chat coordination.",P050,https://cdn.gamehub.example/groups/GR004.png,250,2025-08-19 16:46:23,FALSE
GR005,Elite Guild 5,"Player group for practice games, tournaments, and chat coordination.",P064,https://cdn.gamehub.example/groups/GR005.png,100,2026-01-29 00:59:09,TRUE
GR006,Weekend Guild 6,"Player group for practice games, tournaments, and chat coordination.",P062,https://cdn.gamehub.example/groups/GR006.png,50,2025-08-16 20:08:13,FALSE
GR007,Blitz Guild 7,"Player group for practice games, tournaments, and chat coordination.",P010,https://cdn.gamehub.example/groups/GR007.png,100,2025-04-28 02:16:51,FALSE
GR008,Blitz Guild 8,"Player group for practice games, tournaments, and chat coordination.",P034,https://cdn.gamehub.example/groups/GR008.png,25,2026-01-02 23:46:00,TRUE
GR009,Strategy Guild 9,"Player group for practice games, tournaments, and chat coordination.",P049,https://cdn.gamehub.example/groups/GR009.png,25,2025-06-23 19:35:49,FALSE
GR010,Weekend Guild 10,"Player group for practice games, tournaments, and chat coordination.",P077,https://cdn.gamehub.example/groups/GR010.png,250,2025-05-06 13:45:18,FALSE
GR011,Strategy Guild 11,"Player group for practice games, tournaments, and chat coordination.",P084,https://cdn.gamehub.example/groups/GR011.png,250,2025-08-12 12:37:36,TRUE
GR012,Casual Guild 12,"Player group for practice games, tournaments, and chat coordination.",P013,https://cdn.gamehub.example/groups/GR012.png,50,2025-09-07 01:33:47,FALSE
GR013,Weekend Guild 13,"Player group for practice games, tournaments, and chat coordination.",P090,https://cdn.gamehub.example/groups/GR013.png,100,2025-11-17 03:58:13,FALSE
GR014,Blitz Guild 14,"Player group for practice games, tournaments, and chat coordination.",P031,https://cdn.gamehub.example/groups/GR014.png,25,2026-02-11 16:13:41,FALSE
GR015,Blitz Guild 15,"Player group for practice games, tournaments, and chat coordination.",P020,https://cdn.gamehub.example/groups/GR015.png,100,2025-04-15 11:07:38,FALSE
GR016,Casual Guild 16,"Player group for practice games, tournaments, and chat coordination.",P012,https://cdn.gamehub.example/groups/GR016.png,250,2025-09-14 14:12:29,TRUE
