TID,PID,seed,enrolled_at,eliminated,final_rank,prize_awarded
T008,P035,116,2026-03-14 18:46:17,TRUE,25,
T019,P050,108,2026-03-14 22:02:48,TRUE,84,Medal
T047,P041,49,2026-02-08 09:10:44,FALSE,120,ELO Bonus
T057,P040,128,2025-12-17 12:01:07,TRUE,101,Medal
T030,P031,56,2026-07-23 01:09:40,FALSE,13,
T019,P064,121,2026-03-29 11:22:04,TRUE,28,ELO Bonus
T009,P034,94,2026-05-14 02:36:01,FALSE,12,ELO Bonus
T004,P073,50,2026-04-28 06:57:59,FALSE,19,ELO Bonus
T033,P058,72,2026-08-02 19:20:05,TRUE,33,
T026,P048,87,2026-07-13 03:22:10,FALSE,37,Badge
T039,P066,103,2026-06-20 17:03:50,TRUE,12,
T009,P092,86,2026-06-10 11:36:55,FALSE,39,Medal
T058,P066,36,2026-04-14 20:51:47,FALSE,42,ELO Bonus
T040,P095,77,2026-07-27 01:54:53,FALSE,126,Medal
T020,P061,5,2026-04-30 13:20:37,FALSE,29,ELO Bonus
T038,P040,7,2026-07-28 07:36:03,FALSE,68,Medal
T037,P030,14,2026-07-23 02:49:52,FALSE,44,Medal
T041,P093,98,2026-02-03 21:22:09,TRUE,9,Medal
T045,P015,49,2025-12-15 20:30:32,FALSE,81,ELO Bonus
T010,P053,53,2026-05-16 20:59:40,FALSE,16,Badge
T034,P027,84,2026-06-12 06:44:26,FALSE,81,Badge
T030,P069,88,2026-07-08 15:38:07,FALSE,68,Medal
T031,P025,64,2026-03-26 20:31:41,FALSE,58,Trophy
T050,P037,54,2026-06-16 09:50:20,FALSE,123,Trophy
T036,P093,71,2026-03-30 06:23:29,TRUE,98,ELO Bonus
T053,P045,38,2026-03-31 07:12:53,TRUE,74,
T023,P057,66,2026-06-12 13:20:32,TRUE,52,Medal
T018,P072,70,2026-01-30 19:28:36,TRUE,62,Badge
T004,P086,58,2026-03-08 22:11:38,TRUE,26,ELO Bonus
T022,P092,121,2026-01-16 13:08:47,TRUE,2,Medal
T060,P021,105,2026-06-11 05:50:31,FALSE,52,Trophy
T021,P037,16,2026-01-12 05:50:03,TRUE,10,Badge
T027,P023,10,2026-05-11 16:15:27,FALSE,48,Trophy
T057,P005,3,2026-04-03 09:13:01,TRUE,86,Trophy
T030,P083,127,2026-01-29 14:50:02,FALSE,70,Badge
T052,P015,85,2026-02-09 14:33:22,FALSE,66,Badge
T001,P095,87,2026-04-02 01:49:31,TRUE,45,Medal
T055,P082,104,2026-05-23 14:28:59,FALSE,23,ELO Bonus
T043,P013,48,2026-02-01 02:35:51,FALSE,83,Badge
T001,P034,99,2026-03-09 23:13:01,FALSE,69,Trophy
T020,P075,3,2026-03-20 01:51:07,FALSE,61,
T043,P016,120,2026-04-06 15:38:32,TRUE,104,Medal
T060,P091,80,2026-01-23 02:23:38,FALSE,95,Medal
T015,P029,35,2026-06-12 04:58:42,TRUE,117,Medal
T024,P054,121,2026-07-05 06:01:40,TRUE,64,Medal
T056,P011,115,2026-07-01 14:55:49,FALSE,20,Medal
T008,P008,52,2026-07-18 21:57:59,TRUE,43,Trophy
T055,P067,114,2026-01-22 15:26:07,TRUE,126,
T029,P008,117,2026-01-28 17:48:37,FALSE,117,Medal
T004,P072,119,2026-04-07 04:20:54,TRUE,102,Trophy
T053,P001,56,2026-07-21 02:15:06,TRUE,12,ELO Bonus
T023,P090,17,2026-07-06 16:00:33,TRUE,18,ELO Bonus
T003,P037,105,2026-02-16 09:32:51,TRUE,108,Trophy
T058,P049,115,2026-05-04 02:31:15,FALSE,21,Medal
T009,P084,90,2026-01-23 13:44:28,TRUE,101,Medal
T009,P094,58,2025-12-09 20:22:24,TRUE,77,ELO Bonus
T044,P093,109,2026-07-03 01:58:50,FALSE,59,Badge
T030,P045,40,2026-03-25 13:14:30,TRUE,29,
T052,P085,108,2026-08-04 07:29:58,TRUE,62,Badge
T005,P013,9,2026-05-30 21:07:56,TRUE,63,
T026,P057,60,2026-07-06 02:55:33,TRUE,15,Badge
T033,P038,60,2026-07-20 05:44:15,FALSE,83,Badge
T020,P019,57,2026-05-18 02:39:37,FALSE,71,
T036,P076,45,2026-05-23 09:47:52,FALSE,13,Trophy
T042,P086,98,2026-06-30 04:21:00,FALSE,107,ELO Bonus
T010,P039,97,2026-02-17 21:52:34,FALSE,62,Badge
T020,P091,37,2026-06-06 07:42:26,TRUE,106,ELO Bonus
T036,P068,35,2026-05-08 08:19:40,TRUE,66,Badge
T022,P083,21,2026-06-01 04:19:01,FALSE,24,Medal
T047,P025,14,2026-03-22 18:14:36,FALSE,11,
T013,P098,56,2026-06-12 16:16:40,TRUE,86,Trophy
T059,P002,55,2026-02-20 07:08:57,TRUE,123,Badge
T045,P078,53,2026-05-11 12:52:43,TRUE,83,Trophy
T025,P060,92,2026-04-07 06:42:14,FALSE,93,Medal
T057,P064,120,2026-01-15 19:05:43,FALSE,82,Badge
T024,P041,106,2025-12-26 06:05:55,TRUE,38,
T017,P071,107,2026-04-02 03:23:29,TRUE,51,Trophy
T015,P049,63,2026-06-20 09:49:37,FALSE,66,ELO Bonus
T047,P083,126,2026-06-05 11:14:15,TRUE,91,Badge
T009,P093,126,2026-02-17 23:26:58,TRUE,9,
T053,P086,13,2025-12-10 23:30:05,FALSE,36,Badge
T005,P091,39,2025-12-12 01:12:16,TRUE,117,Trophy
T004,P080,124,2026-06-15 23:07:56,TRUE,2,Medal
T036,P053,4,2025-12-14 23:53:56,FALSE,74,
T033,P090,111,2026-02-16 02:53:17,TRUE,25,Medal
T010,P031,50,2026-06-30 22:55:31,FALSE,91,Trophy
T051,P051,21,2026-05-02 09:05:33,FALSE,118,Medal
T016,P090,58,2026-04-03 23:57:58,TRUE,9,
T026,P049,97,2026-07-11 03:33:02,FALSE,15,
T045,P022,22,2026-06-20 15:01:04,FALSE,85,Medal
T055,P013,11,2026-03-07 17:34:44,TRUE,122,Trophy
T003,P010,72,2026-07-07 09:24:46,TRUE,46,Trophy
T002,P027,37,2026-05-12 04:23:16,TRUE,77,Badge
T037,P031,100,2026-07-06 10:24:25,FALSE,99,Badge
T051,P089,21,2026-06-20 23:43:39,FALSE,14,
T028,P030,20,2026-04-19 18:33:16,FALSE,84,
T041,P035,116,2026-06-17 00:45:20,TRUE,92,Medal
T025,P056,48,2026-07-24 00:45:06,FALSE,22,Medal
T019,P032,19,2026-01-09 08:38:58,FALSE,40,ELO Bonus
T046,P082,40,2026-05-08 19:32:24,FALSE,93,
