CID,PID1,PID2,created_at,last_message_at,is_archived
C001,P077,P059,2026-03-23 13:47:21,2026-09-30 23:25:21,FALSE
C002,P068,P082,2026-03-26 20:50:07,2026-08-10 02:08:07,FALSE
C003,P062,P070,2025-10-17 16:59:25,2026-05-11 18:31:25,FALSE
C004,P040,P047,2025-12-28 14:01:04,2026-03-04 16:41:04,FALSE
C005,P002,P001,2026-02-09 17:39:39,2026-09-05 19:59:39,FALSE
C006,P037,P061,2026-02-14 07:28:59,2026-02-16 15:52:59,FALSE
C007,P039,P002,2026-05-14 22:25:06,2026-09-02 03:25:06,FALSE
C008,P030,P001,2026-02-19 09:42:28,2026-05-25 12:56:28,FALSE
C009,P072,P056,2025-12-21 19:21:21,2026-02-22 22:09:21,FALSE
C010,P095,P083,2025-12-19 20:29:02,2026-07-20 02:57:02,TRUE
C011,P034,P011,2026-01-01 11:33:22,2026-06-10 15:39:22,FALSE
C012,P098,P079,2026-04-16 23:50:44,2026-10-09 04:29:44,FALSE
C013,P084,P096,2026-02-13 02:04:47,2026-09-08 06:40:47,FALSE
C014,P025,P009,2025-09-30 08:09:29,2025-11-03 13:06:29,TRUE
C015,P082,P059,2026-03-18 09:39:19,2026-07-11 14:18:19,FALSE
C016,P080,P063,2025-10-02 10:19:28,2025-12-23 10:39:28,TRUE
C017,P007,P069,2025-07-30 02:16:29,2025-09-15 04:01:29,FALSE
C018,P035,P017,2026-04-25 06:06:33,2026-08-15 06:15:33,TRUE
C019,P012,P020,2025-07-27 05:14:43,2025-11-30 08:57:43,FALSE
C020,P054,P040,2026-01-31 01:23:06,2026-05-06 09:18:06,FALSE
C021,P005,P043,2025-08-21 15:44:00,2026-03-24 18:14:00,TRUE
C022,P035,P100,2025-12-20 21:38:09,2026-01-08 06:55:09,FALSE
C023,P024,P025,2025-10-26 14:54:34,2026-05-23 21:25:34,TRUE
C024,P016,P099,2026-04-25 01:19:26,2026-06-27 07:54:26,FALSE
C025,P032,P095,2025-08-03 12:20:18,2025-09-22 20:12:18,FALSE
C026,P099,P013,2026-02-08 21:22:07,2026-07-29 00:56:07,FALSE
C027,P050,P088,2025-11-19 17:04:12,2026-07-16 22:35:12,TRUE
C028,P081,P094,2025-08-06 21:12:04,2026-02-13 06:35:04,FALSE
C029,P016,P033,2026-01-24 09:23:05,2026-07-06 14:29:05,TRUE
C030,P047,P007,2026-04-06 10:02:44,2026-05-31 11:58:44,TRUE
C031,P082,P056,2025-11-24 12:41:05,2025-11-27 15:33:05,FALSE
C032,P075,P016,2025-12-22 05:12:02,2026-07-12 09:21:02,TRUE
C033,P006,P075,2026-04-15 18:16:11,2026-08-14 20:55:11,FALSE
C034,P099,P012,2025-10-26 02:15:34,2025-12-05 10:47:34,TRUE
C035,P088,P080,2025-11-29 22:19:21,2026-07-25 23:21:21,TRUE
C036,P046,P083,2025-09-19 06:37:25,2026-03-17 15:47:25,TRUE
C037,P017,P063,2025-10-19 20:41:05,2026-01-09 06:13:05,FALSE
C038,P097,P045,2026-01-07 21:09:23,2026-07-14 00:27:23,TRUE
C039,P089,P049,2025-12-07 14:21:46,2026-06-10 16:39:46,FALSE
C040,P006,P063,2026-04-21 22:13:53,2026-08-12 07:46:53,FALSE
C041,P070,P090,2026-01-27 19:59:18,2026-03-17 05:40:18,TRUE
C042,P070,P045,2025-11-24 04:55:27,2026-05-30 12:55:27,FALSE
C043,P077,P071,2025-09-21 18:30:32,2025-10-09 03:34:32,TRUE
C044,P058,P038,2025-10-31 18:35:35,2026-03-19 00:51:35,FALSE
C045,P001,P100,2026-03-26 06:50:02,2026-08-02 13:19:02,FALSE
C046,P024,P003,2026-03-19 04:20:42,2026-10-24 10:33:42,FALSE
C047,P031,P042,2026-04-27 12:14:25,2026-05-13 21:26:25,FALSE
C048,P025,P068,2026-04-12 20:06:39,2026-08-18 05:31:39,TRUE
C049,P079,P037,2025-11-23 18:51:01,2026-03-08 00:21:01,TRUE
C050,P013,P067,2026-04-03 09:18:34,2026-04-20 10:03:34,TRUE
