game_ID,PID,seat_no,score
G001,P001,1,0
G001,P040,2,3
G002,P024,1,4
G002,P056,2,2
G003,P004,1,2
G003,P012,2,3
G004,P042,1,3
G004,P050,2,2
G005,P072,1,4
G005,P032,2,0
G006,P035,1,0
G006,P064,2,3
G007,P039,1,2
G007,P062,2,0
G008,P077,1,4
G008,P079,2,3
G009,P051,1,1
G009,P043,2,3
G010,P084,1,1
G010,P077,2,3
G011,P041,1,2
G011,P023,2,4
G012,P074,1,2
G012,P032,2,4
G013,P073,1,4
G013,P026,2,1
G014,P027,1,4
G014,P057,2,3
G015,P082,1,2
G015,P039,2,0
G016,P049,1,0
G016,P010,2,4
G017,P065,1,3
G017,P089,2,0
G018,P082,1,0
G018,P011,2,1
G019,P006,1,3
G019,P073,2,4
G020,P034,1,0
G020,P029,2,3
G021,P087,1,1
G021,P076,2,4
G022,P054,1,2
G022,P011,2,1
G023,P027,1,2
G023,P067,2,0
G024,P090,1,2
G024,P058,2,4
G025,P044,1,0
G025,P083,2,2
G026,P021,1,1
G026,P043,2,0
G027,P024,1,3
G027,P082,2,2
G028,P026,1,1
G028,P058,2,3
G029,P036,1,0
G029,P097,2,4
G030,P042,1,0
G030,P026,2,1
G031,P082,1,3
G031,P041,2,0
G032,P046,1,1
G032,P059,2,4
G033,P018,1,4
G033,P041,2,3
G034,P089,1,0
G034,P019,2,4
G035,P055,1,2
G035,P024,2,0
G036,P037,1,3
G036,P018,2,1
G037,P046,1,3
G037,P002,2,0
G038,P084,1,1
G038,P064,2,3
G039,P022,1,0
G039,P011,2,4
G040,P069,1,0
G040,P037,2,2
G041,P066,1,2
G041,P015,2,4
G042,P097,1,1
G042,P006,2,3
G043,P084,1,1
G043,P097,2,4
G044,P012,1,0
G044,P057,2,4
G045,P045,1,4
G045,P091,2,1
G046,P027,1,3
G046,P008,2,2
G047,P042,1,1
G047,P091,2,4
G048,P087,1,3
G048,P013,2,4
G049,P090,1,1
G049,P017,2,0
G050,P063,1,0
G050,P019,2,1
