GT_ID,type_name,description,max_duration_sec,is_ranked,board_size,created_at
GT001,Quoridor Blitz 1,Blitz ruleset for Quoridor with balanced matchmaking.,1200,TRUE,19x19,2026-01-27 00:35:37
GT002,Shogi Rapid 2,Rapid ruleset for Shogi with balanced matchmaking.,900,FALSE,10x10,2026-01-26 05:49:57
GT003,Mancala Classic 3,Classic ruleset for Mancala with balanced matchmaking.,900,FALSE,19x19,2026-05-18 09:06:38
GT004,Blokus Blitz 4,Blitz ruleset for Blokus with balanced matchmaking.,1200,FALSE,10x10,2025-04-28 22:15:35
GT005,Hex Team 5,Team ruleset for Hex with balanced matchmaking.,1200,FALSE,9x9,2026-11-17 00:37:34
GT006,Backgammon Team 6,Team ruleset for Backgammon with balanced matchmaking.,600,FALSE,8x8,2025-04-06 18:28:23
GT007,Blokus Team 7,Team ruleset for Blokus with balanced matchmaking.,1200,TRUE,13x13,2024-01-26 00:11:28
GT008,Shogi Casual 8,Casual ruleset for Shogi with balanced matchmaking.,300,FALSE,8x8,2026-02-23 12:52:39
GT009,Quoridor Classic 9,Classic ruleset for Quoridor with balanced matchmaking.,3600,TRUE,13x13,2026-09-11 16:01:01
GT010,Shogi Rapid 10,Rapid ruleset for Shogi with balanced matchmaking.,1200,FALSE,10x10,2026-07-24 16:47:40
GT011,Tafl Rapid 11,Rapid ruleset for Tafl with balanced matchmaking.,900,FALSE,10x10,2026-07-30 04:46:01
GT012,Blokus Classic 12,Classic ruleset for Blokus with balanced matchmaking.,1800,TRUE,9x9,2026-08-05 23:23:17
GT013,Stratego Arena 13,Arena ruleset for Stratego with balanced matchmaking.,3600,TRUE,13x13,2024-04-30 10:13:32
GT014,Reversi Solo 14,Solo ruleset for Reversi with balanced matchmaking.,600,FALSE,8x8,2024-02-08 22:40:03
GT015,Hive Classic 15,Classic ruleset for Hive with balanced matchmaking.,900,FALSE,10x10,2025-09-28 13:10:02
GT016,Shogi Arena 16,Arena ruleset for Shogi with balanced matchmaking.,1800,FALSE,19x19,2026-10-23 15:21:36
GT017,Connect4 Blitz 17,Blitz ruleset for Connect4 with balanced matchmaking.,600,TRUE,19x19,2025-07-15 18:17:06
GT018,Risk Arena 18,Arena ruleset for Risk with balanced matchmaking.,1200,TRUE,9x9,2025-11-14 20:54:53
GT019,Mancala Solo 19,Solo ruleset for Mancala with balanced matchmaking.,900,TRUE,13x13,2025-02-18 07:41:08
GT020,Hex Blitz 20,Blitz ruleset for Hex with balanced matchmaking.,300,FALSE,10x10,2026-05-30 06:15:39
GT021,Stratego Team 21,Team ruleset for Stratego with balanced matchmaking.,3600,FALSE,13x13,2025-03-12 19:54:44
GT022,Dominoes Team 22,Team ruleset for Dominoes with balanced matchmaking.,1200,TRUE,9x9,2025-07-13 22:17:29
GT023,Pente Casual 23,Casual ruleset for Pente with balanced matchmaking.,1800,FALSE,custom,2025-03-02 03:00:01
GT024,Chess Team 24,Team ruleset for Chess with balanced matchmaking.,900,TRUE,19x19,2026-10-29 20:27:29
GT025,Checkers Solo 25,Solo ruleset for Checkers with balanced matchmaking.,900,TRUE,19x19,2025-05-29 19:28:38
GT026,Backgammon Arena 26,Arena ruleset for Backgammon with balanced matchmaking.,1800,FALSE,custom,2026-09-18 12:04:08
GT027,Shogi Rapid 27,Rapid ruleset for Shogi with balanced matchmaking.,3600,TRUE,10x10,2025-10-14 07:04:47
GT028,Checkers Casual 28,Casual ruleset for Checkers with balanced matchmaking.,3600,TRUE,8x8,2025-03-01 22:30:54
GT029,Hive Team 29,Team ruleset for Hive with balanced matchmaking.,600,TRUE,9x9,2026-03-16 10:34:43
GT030,Othello Ranked 30,Ranked ruleset for Othello with balanced matchmaking.,600,FALSE,13x13,2025-03-01 23:40:14
GT031,Hive Rapid 31,Rapid ruleset for Hive with balanced matchmaking.,1200,TRUE,9x9,2024-11-13 23:31:31
GT032,Tafl Casual 32,Casual ruleset for Tafl with balanced matchmaking.,300,FALSE,8x8,2025-01-13 07:43:49
GT033,Hex Rapid 33,Rapid ruleset for Hex with balanced matchmaking.,1200,FALSE,custom,2026-10-08 22:40:54
GT034,Mancala Team 34,Team ruleset for Mancala with balanced matchmaking.,3600,FALSE,8x8,2026-10-12 19:43:49
GT035,Backgammon Solo 35,Solo ruleset for Backgammon with balanced matchmaking.,300,FALSE,19x19,2024-11-07 09:10:02
GT036,Go Solo 36,Solo ruleset for Go with balanced matchmaking.,3600,FALSE,custom,2025-08-24 18:22:22
GT037,Reversi Blitz 37,Blitz ruleset for Reversi with balanced matchmaking.,300,TRUE,10x10,2026-01-02 18:22:37
GT038,Reversi Rapid 38,Rapid ruleset for Reversi with balanced matchmaking.,600,TRUE,13x13,2025-11-03 05:03:54
GT039,Othello Team 39,Team ruleset for Othello with balanced matchmaking.,1800,TRUE,13x13,2026-09-11 21:15:29
GT040,Reversi Solo 40,Solo ruleset for Reversi with balanced matchmaking.,1800,FALSE,10x10,2024-01-19 07:45:05
GT041,Othello Arena 41,Arena ruleset for Othello with balanced matchmaking.,1200,FALSE,9x9,2025-06-14 21:54:56
GT042,Reversi Casual 42,Casual ruleset for Reversi with balanced matchmaking.,1800,FALSE,8x8,2025-08-08 23:43:18
GT043,Mancala Arena 43,Arena ruleset for Mancala with balanced matchmaking.,300,FALSE,8x8,2026-09-24 01:48:34
GT044,Dominoes Classic 44,Classic ruleset for Dominoes with balanced matchmaking.,300,FALSE,9x9,2024-06-12 02:46:57
GT045,Pente Arena 45,Arena ruleset for Pente with balanced matchmaking.,300,TRUE,19x19,2024-10-29 23:14:59
GT046,Backgammon Casual 46,Casual ruleset for Backgammon with balanced matchmaking.,600,TRUE,10x10,2024-07-11 06:21:31
GT047,Shogi Ranked 47,Ranked ruleset for Shogi with balanced matchmaking.,600,TRUE,custom,2024-01-08 13:09:13
GT048,Shogi Classic 48,Classic ruleset for Shogi with balanced matchmaking.,900,TRUE,19x19,2025-04-15 11:04:30
GT049,Chess Blitz 49,Blitz ruleset for Chess with balanced matchmaking.,900,TRUE,9x9,2025-09-13 10:32:49
GT050,LinesOfAction Rapid 50,Rapid ruleset for LinesOfAction with balanced matchmaking.,3600,TRUE,13x13,2025-10-25 20:54:40
