NID,recipient_PID,type,ref_id,content,is_read,created_at
N0001,P030,group_invite,GR050,New group invite notification.,TRUE,2026-04-16 06:01:46
N0002,P053,rank_update,T020,New rank update notification.,FALSE,2026-04-11 16:13:31
N0003,P096,friend_request,P091,New friend request notification.,TRUE,2026-04-30 13:24:13
N0004,P067,rank_update,GT016,New rank update notification.,TRUE,2026-04-20 16:56:29
N0005,P027,chat_message,,New chat message notification.,FALSE,2026-04-22 08:20:20
N0006,P020,game_result,G007,New game result notification.,FALSE,2026-05-04 03:08:27
N0007,P034,rank_update,GT033,New rank update notification.,FALSE,2026-04-29 21:53:18
N0008,P036,game_result,G040,New game result notification.,FALSE,2026-05-09 03:36:21
N0009,P071,tournament_invite,T027,New tournament invite notification.,FALSE,2026-04-11 04:13:24
N0010,P072,game_result,G036,New game result notification.,FALSE,2026-04-14 19:40:20
N0011,P045,game_result,G037,New game result notification.,FALSE,2026-05-08 05:14:55
N0012,P085,tournament_invite,T055,New tournament invite notification.,TRUE,2026-05-08 19:16:00
N0013,P090,tournament_invite,T029,New tournament invite notification.,TRUE,2026-04-07 08:49:59
N0014,P052,tournament_invite,T033,New tournament invite notification.,FALSE,2026-05-11 09:03:44
N0015,P090,rank_update,T029,New rank update notification.,TRUE,2026-04-10 07:16:24
N0016,P001,group_invite,GR041,New group invite notification.,TRUE,2026-05-12 11:09:43
N0017,P077,tournament_invite,T031,New tournament invite notification.,FALSE,2026-04-06 18:41:28
N0018,P029,friend_request,P034,New friend request notification.,FALSE,2026-04-06 09:15:10
N0019,P093,rank_update,GT005,New rank update notification.,FALSE,2026-04-21 22:47:06
N0020,P067,rank_update,T034,New rank update notification.,FALSE,2026-05-07 01:04:51
N0021,P100,rank_update,GT008,New rank update notification.,TRUE,2026-05-03 13:59:36
N0022,P002,group_invite,GR029,New group invite notification.,TRUE,2026-05-13 18:58:59
N0023,P067,chat_message,,New chat message notification.,FALSE,2026-04-11 22:53:46
N0024,P066,friend_request,P077,New friend request notification.,TRUE,2026-05-02 08:44:53
N0025,P005,tournament_invite,T044,New tournament invite notification.,FALSE,2026-04-14 02:45:15
N0026,P001,chat_message,,New chat message notification.,TRUE,2026-04-06 17:10:45
N0027,P052,game_result,G050,New game result notification.,FALSE,2026-05-05 00:12:46
N0028,P076,group_invite,GR026,New group invite notification.,TRUE,2026-04-27 15:12:50
