PID,GAME_ID,result,elo_change,elo_before,elo_after,play_duration_sec
P001,G001,loss,-12,1885,1873,4039
P040,G001,win,6,1807,1813,1766
P024,G002,loss,-13,2257,2244,1362
P056,G002,win,12,889,901,4857
P004,G003,loss,-27,1645,1618,3651
P012,G003,win,28,1738,1766,1295
P042,G004,win,8,1989,1997,4740
P050,G004,loss,-25,1073,1048,3830
P072,G005,win,23,953,976,5251
P032,G005,loss,-18,927,909,1670
P035,G006,win,14,1284,1298,2738
P064,G006,loss,-30,1445,1415,3819
P039,G007,win,28,2235,2263,3272
P062,G007,loss,-19,1451,1432,2827
P077,G008,win,7,1278,1285,2260
P079,G008,loss,-29,1078,1049,5389
P051,G009,loss,-9,1023,1014,1465
P043,G009,win,19,1136,1155,4417
P084,G010,win,18,1443,1461,1589
P077,G010,loss,-16,1897,1881,2300
P041,G011,loss,-14,1725,1711,4395
P023,G011,win,8,1342,1350,1340
P074,G012,loss,-30,1122,1092,3092
P032,G012,win,27,2243,2270,930
P073,G013,win,15,1240,1255,1815
P026,G013,loss,-27,986,959,2633
P027,G014,loss,-17,1528,1511,4806
P057,G014,win,26,900,926,3048
P082,G015,win,10,1332,1342,854
P039,G015,loss,-19,1628,1609,5154
P049,G016,loss,-22,2332,2310,2646
P010,G016,win,19,993,1012,1434
P065,G017,loss,-8,1086,1078,697
P089,G017,win,29,926,955,2420
P082,G018,win,11,1067,1078,3881
P011,G018,loss,-26,1562,1536,1288
P006,G019,loss,-23,1992,1969,2720
P073,G019,win,5,953,958,1128
P034,G020,win,25,1204,1229,4232
P029,G020,loss,-7,1063,1056,3316
P087,G021,win,6,1050,1056,4376
P076,G021,loss,-10,903,893,5301
P054,G022,win,28,1687,1715,3835
P011,G022,loss,-5,1816,1811,3735
P027,G023,loss,-18,2199,2181,2015
P067,G023,win,11,1524,1535,2133
P090,G024,loss,-13,1363,1350,4253
P058,G024,win,6,1104,1110,2613
P044,G025,win,14,2125,2139,4686
P083,G025,loss,-22,1643,1621,4524
P021,G026,loss,-7,924,917,2891
P043,G026,win,9,1584,1593,4034
P024,G027,loss,-25,1208,1183,4907
P082,G027,win,25,1310,1335,5053
P026,G028,loss,-17,839,822,3541
P058,G028,win,22,1782,1804,4570
P036,G029,win,23,1504,1527,4715
P097,G029,loss,-17,1458,1441,2815
P042,G030,loss,-5,1168,1163,3212
P026,G030,win,12,2022,2034,840
P082,G031,loss,-13,2394,2381,1079
P041,G031,win,21,1766,1787,3528
P046,G032,win,23,2370,2393,2506
P059,G032,loss,-8,1126,1118,2630
P018,G033,win,12,2145,2157,2783
P041,G033,loss,-30,1892,1862,1058
P089,G034,loss,-12,2364,2352,5316
P019,G034,win,16,1595,1611,2023
P055,G035,loss,-12,1160,1148,3205
P024,G035,win,27,2311,2338,3539
P037,G036,win,5,2011,2016,3480
P018,G036,loss,-23,1962,1939,1764
P046,G037,loss,-11,1953,1942,4632
P002,G037,win,14,1910,1924,2038
P084,G038,loss,-6,1804,1798,1339
P064,G038,win,12,915,927,2392
P022,G039,win,21,840,861,4515
P011,G039,loss,-15,801,786,2250
P069,G040,win,15,1067,1082,2053
P037,G040,loss,-6,1462,1456,779
P066,G041,win,23,1102,1125,1760
P015,G041,loss,-8,2385,2377,4911
P097,G042,loss,-7,1547,1540,3660
P006,G042,win,26,2242,2268,3840
P084,G043,win,8,2000,2008,3357
P097,G043,loss,-15,1418,1403,1717
P012,G044,win,28,1122,1150,4178
P057,G044,loss,-20,2109,2089,3199
P045,G045,loss,-27,1156,1129,5203
P091,G045,win,24,2220,2244,3523
P027,G046,loss,-26,1257,1231,2036
P008,G046,win,14,1574,1588,3012
P042,G047,loss,-10,1060,1050,614
P091,G047,win,23,2237,2260,3807
P087,G048,win,23,2378,2401,865
P013,G048,loss,-24,1172,1148,3206
P090,G049,win,12,2052,2064,5232
P017,G049,loss,-20,1013,993,1752
P063,G050,loss,-28,1478,1450,1237
P019,G050,win,16,1287,1303,3217
