move_ID,game_ID,actor_PID,move_no,move_notation,move_time
M0001,G001,P001,1,d4,2026-04-27 09:25:13
M0002,G001,P040,2,capture,2026-04-27 09:26:13
M0003,G002,P024,1,capture,2026-06-04 15:47:18
M0004,G002,P056,2,Nf3,2026-06-04 15:48:18
M0005,G003,P004,1,Qh5,2026-06-04 02:52:05
M0006,G003,P012,2,c5,2026-06-04 03:01:05
M0007,G004,P042,1,advance,2026-04-14 04:11:26
M0008,G004,P050,2,advance,2026-04-14 04:12:26
M0009,G005,P072,1,e4,2026-05-01 10:23:23
M0010,G005,P032,2,c5,2026-05-01 10:30:23
M0011,G006,P035,1,advance,2026-02-28 18:55:46
M0012,G006,P064,2,c5,2026-02-28 18:58:46
M0013,G007,P039,1,Qh5,2026-04-27 14:58:50
M0014,G007,P062,2,c5,2026-04-27 15:05:50
M0015,G008,P077,1,capture,2026-05-16 09:48:23
M0016,G008,P079,2,c5,2026-05-16 09:55:23
M0017,G009,P051,1,advance,2026-04-21 11:47:32
M0018,G009,P043,2,block,2026-04-21 11:48:32
M0019,G010,P084,1,pass,2026-04-15 20:10:47
M0020,G010,P077,2,Nf3,2026-04-15 20:15:47
M0021,G011,P041,1,advance,2026-04-19 11:21:21
M0022,G011,P023,2,pass,2026-04-19 11:27:21
M0023,G012,P074,1,Nf3,2026-04-30 12:36:41
M0024,G012,P032,2,d4,2026-04-30 12:34:41
M0025,G013,P073,1,advance,2026-06-03 07:39:52
M0026,G013,P026,2,e4,2026-06-03 07:44:52
M0027,G014,P027,1,c5,2026-03-01 22:19:09
M0028,G014,P057,2,e4,2026-03-01 22:26:09
M0029,G015,P082,1,block,2026-04-06 13:37:55
M0030,G015,P039,2,block,2026-04-06 13:42:55
M0031,G016,P049,1,capture,2026-06-12 14:38:25
M0032,G016,P010,2,d4,2026-06-12 14:44:25
M0033,G017,P065,1,block,2026-06-02 01:39:13
M0034,G017,P089,2,Nf3,2026-06-02 01:40:13
M0035,G018,P082,1,d4,2026-04-05 16:53:24
M0036,G018,P011,2,d4,2026-04-05 17:00:24
M0037,G019,P006,1,c5,2026-04-21 21:23:09
M0038,G019,P073,2,block,2026-04-21 21:27:09
M0039,G020,P034,1,capture,2026-05-14 01:33:43
M0040,G020,P029,2,d4,2026-05-14 01:34:43
M0041,G021,P087,1,capture,2026-04-24 11:41:52
M0042,G021,P076,2,e4,2026-04-24 11:43:52
M0043,G022,P054,1,d4,2026-03-16 00:19:15
M0044,G022,P011,2,d4,2026-03-16 00:23:15
M0045,G023,P027,1,advance,2026-04-25 03:16:49
M0046,G023,P067,2,e4,2026-04-25 03:17:49
M0047,G024,P090,1,Nf3,2026-03-01 13:04:18
M0048,G024,P058,2,e4,2026-03-01 13:07:18
M0049,G025,P044,1,e4,2026-03-20 09:58:44
M0050,G025,P083,2,castle,2026-03-20 10:02:44
M0051,G026,P021,1,block,2026-05-17 05:24:42
M0052,G026,P043,2,Qh5,2026-05-17 05:23:42
M0053,G027,P024,1,pass,2026-05-04 07:34:51
M0054,G027,P082,2,Qh5,2026-05-04 07:34:51
M0055,G028,P026,1,e4,2026-05-03 00:09:21
M0056,G028,P058,2,capture,2026-05-03 00:12:21
M0057,G029,P036,1,block,2026-06-08 14:39:10
M0058,G029,P097,2,Qh5,2026-06-08 14:48:10
M0059,G030,P042,1,d4,2026-03-10 15:08:07
M0060,G030,P026,2,castle,2026-03-10 15:14:07
M0061,G031,P082,1,pass,2026-06-15 04:55:13
M0062,G031,P041,2,castle,2026-06-15 05:04:13
M0063,G032,P046,1,Nf3,2026-04-15 06:14:36
M0064,G032,P059,2,Nf3,2026-04-15 06:17:36
M0065,G033,P018,1,d4,2026-04-03 19:54:46
M0066,G033,P041,2,d4,2026-04-03 19:53:46
M0067,G034,P089,1,block,2026-05-08 17:09:07
M0068,G034,P019,2,e4,2026-05-08 17:10:07
M0069,G035,P055,1,c5,2026-05-31 20:23:08
M0070,G035,P024,2,castle,2026-05-31 20:28:08
M0071,G036,P037,1,capture,2026-04-18 14:04:56
M0072,G036,P018,2,Nf3,2026-04-18 14:04:56
M0073,G037,P046,1,block,2026-03-15 00:21:52
M0074,G037,P002,2,c5,2026-03-15 00:23:52
M0075,G038,P084,1,c5,2026-05-22 23:40:31
M0076,G038,P064,2,pass,2026-05-22 23:42:31
M0077,G039,P022,1,d4,2026-03-31 07:49:31
M0078,G039,P011,2,pass,2026-03-31 07:46:31
M0079,G040,P069,1,block,2026-05-16 07:17:19
M0080,G040,P037,2,Nf3,2026-05-16 07:20:19
M0081,G041,P066,1,block,2026-04-09 12:28:10
M0082,G041,P015,2,capture,2026-04-09 12:29:10
M0083,G042,P097,1,castle,2026-06-02 14:14:26
M0084,G042,P006,2,Qh5,2026-06-02 14:17:26
M0085,G043,P084,1,d4,2026-04-15 07:30:27
M0086,G043,P097,2,castle,2026-04-15 07:27:27
M0087,G044,P012,1,pass,2026-04-03 12:16:55
