message_ID,CID,sender_PID,text_content,media_url,sent_at,is_read,reply_to
MSG0001,C001,P077,I joined the tournament lobby.,https://cdn.gamehub.example/messages/MSG0001.png,2026-03-23 13:52:21,TRUE,
MSG0002,C001,P059,Let's practice before the next cup.,,2026-03-23 14:06:21,FALSE,
MSG0003,C002,P068,Can you invite me to your group?,,2026-03-26 20:55:07,FALSE,
MSG0004,C002,P082,"Good game, want a rematch?",,2026-03-26 22:22:07,TRUE,MSG0003
MSG0005,C003,P062,I joined the tournament lobby.,,2025-10-17 17:04:25,TRUE,
MSG0006,C003,P070,Let's practice before the next cup.,https://cdn.gamehub.example/messages/MSG0006.png,2025-10-17 17:21:25,FALSE,
MSG0007,C004,P040,Let's practice before the next cup.,https://cdn.gamehub.example/messages/MSG0007.png,2025-12-28 14:06:04,TRUE,
MSG0008,C004,P047,Can you invite me to your group?,,2025-12-28 14:21:04,TRUE,
MSG0009,C005,P002,"Good game, want a rematch?",https://cdn.gamehub.example/messages/MSG0009.png,2026-02-09 17:44:39,TRUE,
MSG0010,C005,P001,"Good game, want a rematch?",,2026-02-09 19:02:39,FALSE,MSG0009
MSG0011,C006,P037,Can you invite me to your group?,,2026-02-14 07:33:59,TRUE,
MSG0012,C006,P061,Can you invite me to your group?,,2026-02-14 08:36:59,TRUE,
MSG0013,C007,P039,Can you invite me to your group?,,2026-05-14 22:30:06,FALSE,
MSG0014,C007,P002,"Good game, want a rematch?",,2026-05-14 23:03:06,FALSE,MSG0013
MSG0015,C008,P030,That endgame was close!,,2026-02-19 09:47:28,FALSE,
MSG0016,C008,P001,Your opening strategy was strong.,https://cdn.gamehub.example/messages/MSG0016.png,2026-02-19 11:07:28,FALSE,
MSG0017,C009,P072,Let's practice before the next cup.,,2025-12-21 19:26:21,FALSE,
MSG0018,C009,P056,Can you invite me to your group?,,2025-12-21 20:45:21,TRUE,MSG0017
MSG0019,C010,P095,Can you invite me to your group?,https://cdn.gamehub.example/messages/MSG0019.png,2025-12-19 20:34:02,FALSE,
MSG0020,C010,P083,Let's practice before the next cup.,,2025-12-19 21:34:02,TRUE,
MSG0021,C011,P034,Your opening strategy was strong.,,2026-01-01 11:38:22,TRUE,
MSG0022,C011,P011,Your opening strategy was strong.,,2026-01-01 12:16:22,TRUE,
MSG0023,C012,P098,"Good game, want a rematch?",,2026-04-16 23:55:44,FALSE,
MSG0024,C012,P079,Can you invite me to your group?,,2026-04-17 01:18:44,TRUE,MSG0023
MSG0025,C013,P084,Let's practice before the next cup.,,2026-02-13 02:09:47,FALSE,
MSG0026,C013,P096,Your opening strategy was strong.,https://cdn.gamehub.example/messages/MSG0026.png,2026-02-13 02:50:47,TRUE,MSG0025
MSG0027,C014,P025,Your opening strategy was strong.,,2025-09-30 08:14:29,TRUE,
MSG0028,C014,P009,That endgame was close!,,2025-09-30 09:05:29,FALSE,MSG0027
MSG0029,C015,P082,That endgame was close!,,2026-03-18 09:44:19,TRUE,
MSG0030,C015,P059,Can you invite me to your group?,,2026-03-18 09:58:19,FALSE,MSG0029
MSG0031,C016,P080,"Good game, want a rematch?",https://cdn.gamehub.example/messages/MSG0031.png,2025-10-02 10:24:28,FALSE,
MSG0032,C016,P063,Let's practice before the next cup.,,2025-10-02 10:49:28,TRUE,
MSG0033,C017,P007,Can you invite me to your group?,https://cdn.gamehub.example/messages/MSG0033.png,2025-07-30 02:21:29,FALSE,
MSG0034,C017,P069,"Good game, want a rematch?",,2025-07-30 02:36:29,FALSE,MSG0033
MSG0035,C018,P035,I joined the tournament lobby.,,2026-04-25 06:11:33,TRUE,
MSG0036,C018,P017,I joined the tournament lobby.,,2026-04-25 07:54:33,FALSE,
MSG0037,C019,P012,Can you invite me to your group?,,2025-07-27 05:19:43,TRUE,
MSG0038,C019,P020,Let's practice before the next cup.,,2025-07-27 06:19:43,TRUE,MSG0037
MSG0039,C020,P054,"Good game, want a rematch?",,2026-01-31 01:28:06,TRUE,
MSG0040,C020,P040,Can you invite me to your group?,,2026-01-31 01:48:06,FALSE,MSG0039
MSG0041,C021,P005,That endgame was close!,,2025-08-21 15:49:00,FALSE,
MSG0042,C021,P043,Can you invite me to your group?,,2025-08-21 16:49:00,TRUE,
MSG0043,C022,P035,That endgame was close!,,2025-12-20 21:43:09,TRUE,
MSG0044,C022,P100,Your opening strategy was strong.,,2025-12-20 22:34:09,TRUE,MSG0043
MSG0045,C023,P024,Let's practice before the next cup.,,2025-10-26 14:59:34,TRUE,
MSG0046,C023,P025,Your opening strategy was strong.,,2025-10-26 16:32:34,TRUE,
MSG0047,C024,P016,I joined the tournament lobby.,https://cdn.gamehub.example/messages/MSG0047.png,2026-04-25 01:24:26,FALSE,
MSG0048,C024,P099,Can you invite me to your group?,,2026-04-25 01:39:26,TRUE,MSG0047
MSG0049,C025,P032,Your opening strategy was strong.,,2025-08-03 12:25:18,TRUE,
MSG0050,C025,P095,"Good game, want a rematch?",,2025-08-03 13:06:18,TRUE,
MSG0051,C026,P099,Your opening strategy was strong.,,2026-02-08 21:27:07,TRUE,
MSG0052,C026,P013,Your opening strategy was strong.,,2026-02-08 21:39:07,FALSE,MSG0051
MSG0053,C027,P050,Can you invite me to your group?,,2025-11-19 17:09:12,FALSE,
MSG0054,C027,P088,Can you invite me to your group?,,2025-11-19 18:52:12,TRUE,
MSG0055,C028,P081,That endgame was close!,,2025-08-06 21:17:04,TRUE,
