TID,struct_ID,game_type_ID,organizer_PID,name,reward,scheduled_at,max_participants,entry_elo_min,entry_elo_max,status
T001,S043,GT028,P063,Masters Cup 1,ELO Bonus,2026-07-08 14:06:44,128,1000,2000,scheduled
T002,S028,GT008,P037,Open Cup 2,Medal,2026-05-31 13:14:39,128,1000,1800,active
T003,S039,GT004,P001,Summer Cup 3,Gift Card,2026-06-20 00:07:18,32,800,2200,completed
T004,S008,GT001,P064,Open Cup 4,ELO Bonus,2026-05-24 22:19:19,32,800,2600,active
T005,S036,GT043,P046,Spring Cup 5,ELO Bonus,2026-07-30 18:46:58,16,1200,1800,cancelled
T006,S021,GT037,P055,Masters Cup 6,ELO Bonus,2026-02-16 17:43:55,128,1000,1800,cancelled
T007,S021,GT011,P080,Winter Cup 7,Medal,2026-01-25 14:23:49,64,0,2600,scheduled
T008,S028,GT038,P052,Masters Cup 8,Badge,2026-04-21 23:52:26,128,1000,2200,active
T009,S050,GT011,P010,Masters Cup 9,Medal,2026-05-26 20:25:28,16,800,2200,completed
T010,S016,GT007,P019,Autumn Cup 10,Trophy,2026-03-15 20:34:08,32,800,1800,active
T011,S030,GT049,P073,Masters Cup 11,ELO Bonus,2026-07-28 09:30:16,64,1000,2000,cancelled
T012,S031,GT029,P081,Autumn Cup 12,Gift Card,2026-02-13 00:28:26,16,1000,1800,completed
T013,S029,GT003,P008,Autumn Cup 13,Gift Card,2026-07-15 19:45:06,16,0,2600,cancelled
T014,S029,GT037,P084,Summer Cup 14,Gift Card,2026-02-02 10:21:33,128,800,1800,cancelled
T015,S022,GT046,P011,Masters Cup 15,Medal,2026-02-26 16:42:26,32,0,2000,cancelled
T016,S034,GT034,P079,Summer Cup 16,Gift Card,2026-07-07 03:42:28,64,1000,2600,cancelled
T017,S044,GT039,P007,Open Cup 17,Medal,2026-05-28 21:48:37,64,0,2200,scheduled
T018,S019,GT017,P093,Open Cup 18,Premium Month,2026-06-16 15:02:22,32,1000,1800,active
T019,S020,GT042,P090,Open Cup 19,ELO Bonus,2026-06-02 08:33:57,32,0,2200,cancelled
T020,S009,GT043,P090,Open Cup 20,Medal,2026-05-25 01:37:24,16,1200,2200,scheduled
T021,S020,GT012,P028,Autumn Cup 21,ELO Bonus,2026-06-07 07:39:18,32,800,2000,active
T022,S019,GT007,P065,Masters Cup 22,Medal,2026-02-16 11:13:50,16,1000,2000,cancelled
T023,S011,GT012,P089,Masters Cup 23,Trophy,2026-03-18 09:44:23,128,0,2600,completed
T024,S029,GT040,P037,Open Cup 24,ELO Bonus,2026-04-19 17:56:30,32,800,2200,cancelled
T025,S024,GT044,P074,Winter Cup 25,ELO Bonus,2026-04-02 20:21:42,64,1200,2600,active
T026,S039,GT009,P033,Spring Cup 26,Medal,2026-04-05 01:19:03,128,1000,1800,scheduled
T027,S006,GT049,P021,Autumn Cup 27,ELO Bonus,2026-05-08 04:58:47,32,1200,1800,active
T028,S023,GT002,P054,Spring Cup 28,ELO Bonus,2026-07-11 16:49:03,64,800,2600,scheduled
T029,S015,GT002,P041,Spring Cup 29,Medal,2026-06-12 02:26:21,64,800,2000,scheduled
T030,S031,GT045,P018,Open Cup 30,ELO Bonus,2026-05-08 21:54:35,128,0,1800,scheduled
T031,S014,GT010,P071,Open Cup 31,Premium Month,2026-04-26 21:23:02,128,0,2200,active
T032,S008,GT004,P031,Winter Cup 32,Medal,2026-05-14 10:55:57,128,0,1800,cancelled
T033,S002,GT041,P066,Masters Cup 33,Trophy,2026-08-13 16:23:00,32,1000,2600,scheduled
T034,S016,GT037,P054,Summer Cup 34,Medal,2026-06-03 12:29:01,16,1000,1800,scheduled
T035,S031,GT003,P082,Winter Cup 35,Gift Card,2026-06-18 03:17:33,64,0,2200,scheduled
T036,S016,GT047,P085,Open Cup 36,Badge,2026-05-31 09:47:31,64,800,1800,completed
T037,S042,GT012,P100,Open Cup 37,ELO Bonus,2026-05-28 23:29:20,128,800,2000,scheduled
T038,S003,GT019,P026,Spring Cup 38,Trophy,2026-07-14 05:52:58,16,1000,2200,cancelled
T039,S017,GT003,P097,Open Cup 39,Trophy,2026-07-20 08:24:20,64,1000,1800,completed
T040,S008,GT024,P056,Winter Cup 40,Medal,2026-05-03 14:33:48,128,1200,2200,active
T041,S045,GT032,P048,Masters Cup 41,Gift Card,2026-07-29 04:56:57,16,1200,1800,cancelled
T042,S035,GT019,P042,Spring Cup 42,Badge,2026-03-28 13:58:34,64,1000,2200,cancelled
T043,S011,GT045,P057,Autumn Cup 43,ELO Bonus,2026-07-01 23:41:22,16,1000,2600,completed
T044,S005,GT043,P082,Winter Cup 44,Gift Card,2026-02-08 18:36:57,32,0,2000,cancelled
T045,S009,GT005,P031,Open Cup 45,Gift Card,2026-01-31 00:20:59,64,1200,1800,active
T046,S024,GT024,P057,Spring Cup 46,Premium Month,2026-07-11 05:34:56,32,1000,2600,completed
T047,S016,GT008,P004,Open Cup 47,Trophy,2026-05-05 17:34:36,128,1200,1800,completed
T048,S046,GT029,P028,Masters Cup 48,Gift Card,2026-04-28 14:04:35,128,800,1800,active
T049,S029,GT012,P092,Winter Cup 49,Badge,2026-02-15 06:12:54,64,1000,1800,completed
T050,S011,GT046,P091,Open Cup 50,Medal,2026-05-13 23:47:55,32,1000,2000,scheduled
T051,S009,GT016,P064,Spring Cup 51,Gift Card,2026-04-05 13:16:22,64,1200,2000,scheduled
T052,S020,GT026,P092,Open Cup 52,ELO Bonus,2026-02-12 00:49:00,128,1200,1800,active
T053,S042,GT005,P058,Winter Cup 53,Medal,2026-05-20 14:54:43,64,800,2000,active
T054,S033,GT004,P016,Masters Cup 54,Trophy,2026-07-04 12:17:40,64,800,2000,completed
T055,S023,GT034,P037,Spring Cup 55,Gift Card,2026-04-15 01:32:07,32,1000,2000,completed
T056,S006,GT033,P083,Summer Cup 56,Premium Month,2026-08-12 16:22:32,32,800,2200,scheduled
T057,S006,GT003,P083,Masters Cup 57,Gift Card,2026-01-28 12:27:36,32,1200,1800,cancelled
T058,S042,GT020,P062,Summer Cup 58,Medal,2026-05-09 23:56:07,128,1000,2600,scheduled
T059,S011,GT029,P054,Winter Cup 59,ELO Bonus,2026-02-09 18:25:47,32,1000,2000,completed
T060,S047,GT023,P052,Summer Cup 60,Gift Card,2026-05-21 12:14:40,16,1000,2000,cancelled
